Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
5015,A0A1B0GTC6,Uncharacterized protein C3orf85 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.002438871,-0.26087564
5016,A0A1B0GTC6,Uncharacterized protein C3orf85 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,2.62E-05,-1.120450208
5017,Q7Z406,Myosin-14 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000302174,-4.417469215
5018,Q7Z406,Myosin-14 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.49E-05,-3.376398209
5019,Q7Z406,Myosin-14 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000152191,-2.390925589
5020,Q7Z406,Myosin-14 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000131474,-4.096167608
5021,Q7Z406,Myosin-14 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.11E-05,-2.163862393
5022,Q7Z406,Myosin-14 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,1.84E-05,-3.509815208
5023,Q7Z406,Myosin-14 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.001522676,1.363126467
5024,Q7Z406,Myosin-14 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.003408136,-1.92730257
5025,Q7Z406,Myosin-14 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000109067,-1.209047382
5026,Q7Z406,Myosin-14 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.000267639,-2.154650698
5027,Q7Z406,Myosin-14 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,1.25E-05,-3.808750895
5028,Q7Z406,Myosin-14 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,6.85E-05,-2.555759272
5029,Q7Z406,Myosin-14 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000494104,-0.688855795
5030,Q7Z406,Myosin-14 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.000273916,-2.720010107
5031,Q7Z406,Myosin-14 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.00061248,-1.351473689
5032,Q7Z406,Myosin-14 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,3.50E-05,-2.001670713
5033,Q7Z406,Myosin-14 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,3.76E-05,-1.340099358
5034,Q7Z406,Myosin-14 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,4.74E-05,-1.203957233
5035,Q7Z406,Myosin-14 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000471728,-1.586746115
5036,P10720,Platelet factor 4 variant [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.434284161,0.120827225
5037,P10720,Platelet factor 4 variant [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.031964476,-0.730102935
5038,P10720,Platelet factor 4 variant [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.009126615,-1.816646654
5039,P10720,Platelet factor 4 variant [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.197110856,0.197895284
5040,P10720,Platelet factor 4 variant [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.029725085,0.516497176
5041,P10720,Platelet factor 4 variant [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.00829073,0.647476822
5042,P10720,Platelet factor 4 variant [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.020789204,-1.080137793
5043,P10720,Platelet factor 4 variant [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000171921,1.288183772
5044,P10720,Platelet factor 4 variant [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.001561017,0.949078646
5045,P10720,Platelet factor 4 variant [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.000780078,1.162329806
5046,P10720,Platelet factor 4 variant [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000123962,1.585254708
5047,P10720,Platelet factor 4 variant [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.001223052,1.127514138
5048,P10720,Platelet factor 4 variant [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.00018262,1.510524747
5049,P10720,Platelet factor 4 variant [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.121440874,-0.305593092
5050,P10720,Platelet factor 4 variant [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.031718353,-0.650691782
5051,P10720,Platelet factor 4 variant [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.651034788,-0.061472806
5052,P10720,Platelet factor 4 variant [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.003580911,-2.737289691
5053,P10720,Platelet factor 4 variant [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.225463207,-0.597017071
5054,P10720,Platelet factor 4 variant [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.332917663,-0.180527307
5055,P10720,Platelet factor 4 variant [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.051046013,0.366085875
5056,P10720,Platelet factor 4 variant [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.004366261,0.729973702
5057,P10720,Platelet factor 4 variant [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.026945582,-0.838136014
5058,P10720,Platelet factor 4 variant [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.201830818,-0.220112718
5059,P10720,Platelet factor 4 variant [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.720219765,-0.04769315
5060,P10720,Platelet factor 4 variant [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.001815165,0.93259096
5061,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.002753456,-0.305846889
5062,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.372225969,-0.052713975
5063,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,3.08E-05,-0.881848238
5064,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.036067735,-0.114891831
5065,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.066857621,-0.181474094
5066,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.003575959,-0.200460445
5067,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.011074242,-0.445171708
5068,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000480029,0.805173055
5069,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.121107204,0.202368848
5070,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000766289,0.526447452
5071,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.04956613,0.126767681
5072,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.094288429,0.115460433
5073,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.045589579,0.259436622
5074,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000914069,-0.367442511
5075,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,3.85E-05,-0.926862213
5076,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000230533,0.376255036
5077,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.003764414,-0.383517789
5078,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.009793515,-1.018671155
5079,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.05211474,-0.401038134
5080,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.013367372,-1.016887268
5081,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.000322767,-1.574584614
5082,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,4.38E-05,-1.001135492
5083,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.00104003,-0.94607464
5084,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.00030584,-2.471649152
5085,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.000952292,-1.501955647
5086,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,6.45E-05,-0.677188858
5087,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.994261923,-0.000914087
5088,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.053707776,0.487320795
5089,P08575,Receptor-type tyrosine-protein phosphatase C [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.473789794,0.060984021
5090,P27918,Properdin [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.067070961,0.791250834
5091,P27918,Properdin [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.003311907,0.5947694
5092,P27918,Properdin [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.995271289,-0.00274649
5093,P27918,Properdin [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.004488128,-0.869061833
5094,P27918,Properdin [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,2.27E-05,1.599252402
5095,P27918,Properdin [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.000588851,2.800436326
5096,P27918,Properdin [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.610495938,0.197833774
5097,P27918,Properdin [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.068387607,-0.480507929
5098,P27918,Properdin [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.012200876,1.881271528
5099,P27918,Properdin [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.002032472,-1.349658472
5100,P27918,Properdin [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.199706649,1.866543413
5101,P27918,Properdin [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.047746142,1.717979519
5102,P27918,Properdin [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.057224562,-0.283611395
5103,P27918,Properdin [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.009159623,1.32071894
5104,P27918,Properdin [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.022502735,0.58907791
5105,P27918,Properdin [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.001934835,-1.73226299
5106,P27918,Properdin [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.097135039,0.664622333
5107,P27918,Properdin [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.180730309,0.503173282
5108,P27918,Properdin [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.637167115,-0.043086704
5109,P27918,Properdin [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.21804223,0.844408047
5110,P27918,Properdin [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.008595325,1.689897554
5111,P27918,Properdin [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.689698681,0.183934143
5112,P27918,Properdin [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.862926015,-0.017856689
5113,P27918,Properdin [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.002571736,0.775938018
5114,P27918,Properdin [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.029288096,1.119075636
5115,P27918,Properdin [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000216064,9.798590515
5116,P27918,Properdin [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.032645906,3.157833603
5117,P27918,Properdin [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000911329,0.76416076
5118,P27918,Properdin [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.005994542,1.33569493
5119,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000678974,-1.009456001
5120,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.000678625,-0.590323645
5121,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.03578094,-0.133622078
5122,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.002648989,-0.628576152
5123,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000411968,-1.219643001
5124,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.007336555,-0.246707957
5125,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.001567881,-0.845812672
5126,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.001018963,0.400103174
5127,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000365779,-0.593065445
5128,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000267737,-0.646863567
5129,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.000127372,-1.090799396
5130,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.003164763,-1.068152452
5131,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.00037399,-1.581169522
5132,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.002145516,-0.844434926
5133,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,3.93E-05,-2.102579006
5134,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000634337,1.028828133
5135,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,5.85E-05,-2.392997864
5136,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,7.66E-05,-1.000348276
5137,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,3.14E-05,-1.539516109
5138,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,1.95E-05,-1.880611491
5139,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.000240441,-1.26517932
5140,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,2.74E-05,-2.570585639
5141,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.005720773,0.814748065
5142,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.000588242,-1.46524088
5143,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.000436698,-1.911968013
5144,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,9.09E-06,1.102096452
5145,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.045529922,0.176371294
5146,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.001895926,-0.624074605
5147,P16671,Platelet glycoprotein 4 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.014372201,-0.198326661
5148,P62328,Thymosin beta-4 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.038958456,-0.090389204
5149,P62328,Thymosin beta-4 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.001341466,-0.286078468
5150,P62328,Thymosin beta-4 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.78E-05,-1.003608767
5151,P62328,Thymosin beta-4 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.001492099,-0.215910223
5152,P62328,Thymosin beta-4 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.055070863,0.124420384
5153,P62328,Thymosin beta-4 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.000209034,-0.40122192
5154,P62328,Thymosin beta-4 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.003902782,-0.161540931
5155,P62328,Thymosin beta-4 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,3.92E-06,-1.571400156
5156,P62328,Thymosin beta-4 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,6.68E-05,0.690826059
5157,P62328,Thymosin beta-4 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.002372053,0.299355077
5158,P62328,Thymosin beta-4 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.030009606,0.230524394
5159,P62328,Thymosin beta-4 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.013459349,0.467213715
5160,P62328,Thymosin beta-4 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,7.32E-05,0.392475574
5161,P62328,Thymosin beta-4 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,2.57E-05,0.622051857
5162,P62328,Thymosin beta-4 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.015207779,-0.407584919
5163,P62328,Thymosin beta-4 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.00018112,-0.405160119
5164,P62328,Thymosin beta-4 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.002893101,-0.617070599
5165,P62328,Thymosin beta-4 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.000353029,-0.539105303
5166,P62328,Thymosin beta-4 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.001247862,0.328704778
5167,P62328,Thymosin beta-4 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.001128895,-0.599658263
5168,P62328,Thymosin beta-4 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.000298565,-0.383288795
5169,P62328,Thymosin beta-4 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.002505783,0.262854663
5170,P62328,Thymosin beta-4 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.002501876,0.329753497
5171,P62328,Thymosin beta-4 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,6.53E-06,-1.704194619
5172,P62328,Thymosin beta-4 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,4.60E-06,-1.403617329
5173,P62328,Thymosin beta-4 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000133194,-4.539051173
5174,P62328,Thymosin beta-4 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.001106896,-0.288293727
5175,P62328,Thymosin beta-4 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.682724359,-0.010253024
5176,P62328,Thymosin beta-4 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.005640122,0.557699592
5177,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.492644565,-1.526091901
5178,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.454285653,-1.847078299
5179,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.453983926,-1.850033871
5180,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.447294513,-1.917718514
5181,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.472171631,-1.685336758
5182,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.685356238,-0.660964763
5183,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.390186702,-2.767065231
5184,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.460330183,-1.78953455
5185,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.495186714,-1.508258417
5186,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.35244507,-4.112479446
5187,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.360136188,-3.701978113
5188,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.523003054,-1.328218069
5189,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.438628536,-2.012341736
5190,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.428425688,-2.134947325
5191,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.386694014,-2.845990271
5192,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.520597476,-1.34287904
5193,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.557805484,-1.141259676
5194,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.35772452,-3.817548308
5195,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.374041607,-3.183536274
5196,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.391446459,-2.739838551
5197,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.433501961,-2.072162508
5198,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.407717111,-2.434535968
5199,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.765968608,0.566573283
5200,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.362769865,-3.586422071
5201,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.41727301,-2.286467651
5202,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.711206793,-0.587494265
5203,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.48594094,-1.575498136
5204,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.396347157,-2.639357344
5205,P24844,Myosin regulatory light polypeptide 9 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.410463618,-2.389993089
5206,Q16643,Drebrin [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.017310327,-0.654728443
5207,Q16643,Drebrin [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.0133968,-1.081990455
5208,Q16643,Drebrin [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.001344301,-1.663598676
5209,Q16643,Drebrin [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.004531556,-3.322506536
5210,Q16643,Drebrin [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.004777924,-1.970479784
5211,Q16643,Drebrin [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.002225936,-1.248217203
5212,Q16643,Drebrin [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.004710001,-2.044744142
5213,Q16643,Drebrin [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.031515291,-0.436644276
5214,Q16643,Drebrin [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.001888017,0.793935946
5215,Q16643,Drebrin [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.103321209,-0.256997176
5216,Q16643,Drebrin [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.747190008,0.035506121
